시점,행정동,성별,나이,인구수
2023-07-15,광명1동,여자,45,1
2023-07-15,광명1동,여자,46,0
2023-07-15,광명1동,여자,47,0
2023-07-15,광명1동,여자,48,1
2023-07-15,광명1동,여자,49,1
2023-07-15,광명1동,여자,50,0
2023-07-15,광명1동,여자,51,0
2023-07-15,광명1동,여자,52,1
2023-07-15,광명1동,여자,53,1
2023-07-15,광명1동,여자,54,0
2023-07-15,광명1동,여자,55,0
2023-07-15,광명1동,여자,56,0
2023-07-15,광명1동,여자,57,4
2023-07-15,광명1동,여자,58,1
2023-07-15,광명1동,여자,59,1
2023-07-15,광명1동,여자,60,2
2023-07-15,광명1동,여자,61,0
2023-07-15,광명1동,여자,62,0
2023-07-15,광명1동,여자,63,0
2023-07-15,광명1동,여자,64,2
2023-07-15,광명1동,여자,65,1
2023-07-15,광명1동,여자,66,0
2023-07-15,광명1동,여자,67,0
2023-07-15,광명1동,여자,68,1
2023-07-15,광명1동,여자,69,1
2023-07-15,광명1동,여자,70,0
2023-07-15,광명1동,여자,71,0
2023-07-15,광명1동,여자,72,0
2023-07-15,광명1동,여자,73,1
2023-07-15,광명1동,여자,74,0
2023-07-15,광명1동,여자,75,1
2023-07-15,광명1동,여자,76,0
2023-07-15,광명1동,여자,77,0
2023-07-15,광명1동,여자,78,0
2023-07-15,광명1동,여자,79,0
2023-07-15,광명1동,여자,80,1
2023-07-15,광명1동,여자,81,0
2023-07-15,광명1동,여자,82,0
2023-07-15,광명1동,여자,83,0
2023-07-15,광명1동,여자,84,0
2023-07-15,광명1동,여자,85,0
2023-07-15,광명1동,여자,86,1
2023-07-15,광명1동,여자,87,0
2023-07-15,광명1동,여자,88,0
2023-07-15,광명1동,여자,89,0
2023-07-15,광명1동,여자,90,0
2023-07-15,광명1동,여자,91,0
2023-07-15,광명1동,여자,92,0
2023-07-15,광명1동,여자,93,0
2023-07-15,광명1동,여자,94,0
2023-07-15,광명1동,여자,95,0
2023-07-15,광명1동,여자,96,0
2023-07-15,광명1동,여자,97,0
2023-07-15,광명1동,여자,98,0
2023-07-15,광명1동,여자,99,0
2023-07-15,광명1동,여자,100,0
2023-07-15,광명2동,남자,0,6
2023-07-15,광명2동,남자,1,3
2023-07-15,광명2동,남자,2,6
